autores_tratados,Sexo Primeiro Autor (dic),Qtd Autores Feminino (dic),Qtd Autores Unknown (dic)
KLAYWERT DANILLO FERREIRA DE SOUZA; DAVID EDUARDO PEREIRA; CLAUDIO E. C. CAMPELO; LARISSA LUCENA VASCONCELOS,unknown,1.0,1.0
SAVIO SANTOS DE ARAUJO; BYRON LEITE DANTAS BEZERRA; ARTHUR FLOR DE SOUSA NETO,M,0.0,1.0
ANDREIS G. M. PURIM; KARLIS KUSKEVICS,M,0.0,1.0
ANTONIO DOS SANTOS RAMOS NETO; JOAO PAULO FELIX; WYLLIAMS SANTOS; BYRON LEITE DANTAS BEZERRA; CLEYTON MARIO DE OLIVEIRA RODRIGUES,M,0.0,2.0
ALINE ATHAYDES; LUCAS B. BULCAO MOTA; FERNANDO HUMBERTO DE ALMEIDA MORAES NETO; SAMUEL RIOS DA SILVA; BABACAR MANE; DANIELA BARREIRO CLARO; MARLO SOUZA; ANDRESSA BEATRIZ CARDOSO LISBOA,F,3.0,1.0
CYNTHYA LETICIA TELES DE OLIVEIRA; LUCAS PADILHA MODESTO DE ARAUJO; KAMILA RIOS DA HORA RODRIGUES; MARCELO GARCIA MANZATO,unknown,1.0,1.0
VAGNER FIGUEREDO DE SANTANA; ASHWATH VAITHINATHAN ARAVINDAN; CASSIA SAMPAIO SANCTOS; TIAGO MACHADO; LUAN SOARES DE SOUZA,M,1.0,1.0
CARLOS DAVID VENTURA; DANIEL MESQUITA FEIJO RABELO; TICIANNE DARIN; WINDSON VIANA,M,0.0,1.0
STEFFANO PEREIRA; MARIA EDUARDA REBELO; GEORGE VALENCA,unknown,1.0,1.0
LIBIANE GOMES; JOAO CARLOS SANTANA SILVEIRA; HELENA MARTINS; CRISTIANE APARECIDA LANA; MARIA LUCIA BENTO VILLELA,unknown,3.0,1.0
AMANDA COELHO; GABRIEL LIMA; LUCAS MELO; LEVI DE BRITO RIBEIRO; TICIANNE DARIN,F,1.0,1.0
