Event,Ano,Total_Autoras,Total_Autores_Masculinos,Primeiras_Autoras,Total_Autores,Primeiros_Autores_Masculinos,Total_Artigos,Proporcao_Autoras,Proporcao_Primeiras_Autoras,Media_Autoras_Lideranca_Feminina,Media_Autoras_Lideranca_Masculina
"PROCEEDINGS OF THE WORKSHOP ON CULTURES, ALTERITIES AND PARTICIPATIONS IN HCI (CAPAIHC)","2023,0000",28,22,9,50,2,11,"0,5600","0,8182","2,7778","1,5000"
PROCEEDINGS OF THE WORKSHOP ON DIGITAL IDENTITY MANAGEMENT,"2019,0000",6,32,4,38,7,11,"0,1579","0,3636","1,5000","0,0000"
PROCEEDINGS OF THE WORKSHOP ON ELECTORAL TECHNOLOGY,"2019,0000",3,16,1,19,4,5,"0,1579","0,2000","3,0000","0,0000"
PROCEEDINGS OF THE WORKSHOP ON EXPERIMENTAL RESEARCH OF THE FUTURE INTERNET (WPEIF),"2017,0000",5,32,2,38,6,8,"0,1316","0,2500","2,0000","0,1667"
PROCEEDINGS OF THE WORKSHOP ON EXPERIMENTAL RESEARCH OF THE FUTURE INTERNET (WPEIF),"2018,0000",0,40,0,41,9,9,"0,0000","0,0000",,"0,0000"
PROCEEDINGS OF THE WORKSHOP ON EXPERIMENTAL RESEARCH OF THE FUTURE INTERNET (WPEIF),"2019,0000",1,45,0,48,10,10,"0,0208","0,0000",,"0,1000"
PROCEEDINGS OF THE WORKSHOP ON EXPERIMENTAL RESEARCH OF THE FUTURE INTERNET (WPEIF),"2020,0000",0,20,0,20,5,5,"0,0000","0,0000",,"0,0000"
PROCEEDINGS OF THE WORKSHOP ON EXPERIMENTAL RESEARCH OF THE FUTURE INTERNET (WPEIF),"2021,0000",3,25,1,28,6,7,"0,1071","0,1429","2,0000","0,1667"
PROCEEDINGS OF THE WORKSHOP ON EXPERIMENTAL RESEARCH OF THE FUTURE INTERNET (WPEIF),"2022,0000",1,28,0,32,8,8,"0,0312","0,0000",,"0,1250"
PROCEEDINGS OF THE WORKSHOP ON EXPERIMENTAL RESEARCH OF THE FUTURE INTERNET (WPEIF),"2023,0000",6,29,0,36,7,7,"0,1667","0,0000",,"0,8571"
